scenario,disease,endpoint,standardized_effect,power,alpha_two_sided,evaluable_per_arm,attrition_fraction,randomized_per_arm,randomized_total,assumption_status,interpretation
cohort-main-continuous-exposure-events,SCA3+SCA6,interval-censored phenoconversion,HR 1.50 per SD,0.9,0.025,not applicable,event based,not applicable,108,illustrative,Approximate event target for one linear standardized exposure; spline and interaction tests need more information.
cohort-800-expected-events,SCA3+SCA6,five-year phenoconversion,500 SCA3 at 25%; 300 SCA6 at 10%,not computed,0.025,not applicable,0.15,not applicable,132,illustrative,About 132 events may support a main exposure analysis but not a stable multi-df genotype interaction.
cohort-expanded-interaction-context,SCA3+SCA6,five-year phenoconversion,750 SCA3 at 35%; 450 SCA6 at 15%,simulation required,0.025,not applicable,0.15,not applicable,281,illustrative,About 281 events is a planning context for a genotype interaction; final design requires interval-censoring simulation.
sca3-pons-mri-30-percent-slowing,SCA3,104-week pons-volume annualized change,0.423,0.8,0.05,89,0.15,105,210,illustrative,Lower SCA3 sensitivity bound: a 30% slowing multiplied by a planning standardized change score of 1.41.
sca3-pons-mri-40-percent-slowing,SCA3,104-week pons-volume annualized change,0.564,0.8,0.05,51,0.15,60,120,illustrative,Central phase-2 scenario: a 40% slowing multiplied by a planning standardized change score of 1.41.
sca3-pons-mri-50-percent-slowing,SCA3,104-week pons-volume annualized change,0.705,0.8,0.05,33,0.15,39,78,illustrative,Upper SCA3 sensitivity bound: a 50% slowing multiplied by a planning standardized change score of 1.41.
sca6-l-arginine-pilot-1.52-point-sara,SCA6,equal-weight week-68/week-72 SARA contrast,0.608,0.8,0.05,44,0.15,52,104,illustrative,Sensitivity analysis using the unstable 1.52-point pilot estimate and SD 2.5; not the design target.
sca6-l-arginine-one-point-sara,SCA6,equal-weight week-68/week-72 SARA contrast,0.4,0.8,0.05,100,0.15,118,236,illustrative,One-point treatment difference with SD 2.5; rounded protocol target is 120 per arm.
sca6-l-arginine-0.75-point-sara,SCA6,equal-weight week-68/week-72 SARA contrast,0.3,0.8,0.05,176,0.15,208,416,illustrative,Sensitivity analysis showing that a 0.75-point effect needs materially more than 240 participants.
sca6-l-arginine-0.60-point-sara,SCA6,equal-weight week-68/week-72 SARA contrast,0.24,0.8,0.05,274,0.15,323,646,illustrative,Sensitivity analysis approximating 50% slowing of a 0.80-point annual SARA rate over 72 weeks.
sca6-fixed-band-repeated-contrast-simulation,SCA6,equal-weight week-68/week-72 SARA contrast,band benefits 0.60/1.00/1.40 points; fixed mean 1.00,0.8,0.05,visit-specific under monotone simulated dropout,week-72: 0.202/0.151/0.100 by SARA band,120,240,illustrative,"10,000 fixed-seed bivariate replicates with 80 participants per SARA band, one-third standardization, correlations 0.70/0.75/0.80, band SDs 2.50/2.80/3.00, bounded SARA, and band-specific monotone dropout."
