claim_id	claim	verdict	claim_tier	evidence_level	model_or_population	scope_limit	source_url	doi
R01_CAG62	In a pooled 786-participant SCA3/MJD cohort from five geographic origins, expanded ATXN3 CAG length explained approximately 62 percent of age-at-onset variance	confirmed	T2	multicentre human genetic observational cohort	786 SCA3/MJD participants from five geographic origins	R-squared equals 0.62 in this pooled cohort and is not a universal population constant; GWAS loci were suggestive rather than genome-wide significant	https://pmc.ncbi.nlm.nih.gov/articles/PMC7138549/	10.18632/aging.102825
R02_SCA6_ONSET	In a four-kindred SCA6 series, two large kindreds had uniform 22- or 23-repeat alleles while onset across affected participants spanned 24 to 63 years	confirmed	T2	human family case series	four SCA6 kindreds; two large kindreds with uniform 22- or 23-repeat alleles	The 24-to-63-year range is across affected participants and should not be assigned wholly to one family	https://pubmed.ncbi.nlm.nih.gov/9403487/	10.1002/ana.410420616
R03_TWINS	In two monozygotic twin pairs, one with SCA2 and one with clinically characterized episodic ataxia type 2, quantitative phenotypic discordance was observed	corrected	T2	human twin case series	two monozygotic twin pairs; one SCA2 and one clinically characterized episodic ataxia type 2 pair	Supports nongermline or external modifiers but does not identify environmental causation or a single factor X	https://pubmed.ncbi.nlm.nih.gov/12470184/	10.1001/archneur.59.12.1945
R04_RURAL_RAO	In 188 symptomatic SCA3 participants from 43 Brazilian municipalities, municipality-level rural proxies were associated with approximately 1.8-year earlier residual onset	corrected	T2	retrospective ecological human analysis	188 symptomatic SCA3 participants from 109 families and 43 Brazilian municipalities	Municipality-level correlated proxies were median-split; no individual exposure, causality, nonlinear dose-response, candidate X, or genotype-by-environment interaction was established	https://pmc.ncbi.nlm.nih.gov/articles/PMC11998691/	10.1002/mdc3.14338
R05_SCA1_REVERSAL	In Purkinje-cell-directed conditional SCA1[82Q] transgenic mice, early mutant ATXN1 suppression reversed measured pathology and motor dysfunction	confirmed_model_limited	T3	conditional transgenic mouse experiment	Purkinje-cell-directed SCA1[82Q] transgenic mice	Model-specific stage-dependent recovery is not proof that early human SCA1 or hereditary cerebellar degeneration is clinically reversible	https://pmc.ncbi.nlm.nih.gov/articles/PMC6729947/	10.1523/JNEUROSCI.2978-04.2004
R06_MLIN	In Sca1 mice, early MLIN hyperexcitability drove modifiable Purkinje pathology	confirmed_model_limited	T3	mouse circuit manipulation with human iPSC proteomic comparison	Sca1 mice; patient-derived GABAergic neurons for shared signature only	Causal intervention evidence is in mice; human data do not establish in-vivo circuit causality or clinical efficacy	https://pmc.ncbi.nlm.nih.gov/articles/PMC10431915/	10.1016/j.neuron.2023.05.016
R07_GLUD2_TEMP	In purified full-length human GluD2 reconstituted in DPHPC bilayers with 10 mM D-serine, open probability was markedly higher at 37 degrees C than at 22 degrees C	corrected	T3	in-vitro structural and single-channel electrophysiology	purified full-length human GluD2 in DPHPC bilayers with 10 mM D-serine	8.85 versus 1.03 percent applies only to the tested artificial bilayer conditions; wild-type whole-cell currents remained undetected and intact-tissue physiology is unproven	https://pmc.ncbi.nlm.nih.gov/articles/PMC12520249/	10.1038/s41586-025-09610-x
R08_CBLN1_GAIT	Recombinant Cbln1 can transiently improve gait in adult cbln1-null mice	corrected	T3	adult mouse knockout rescue	adult cbln1-null mice after cerebellar recombinant Cbln1 injection	Gait rescue does not establish replacement therapy for polyglutamine SCA or humans; synapse reformation requires the separate 2008 citation	https://pmc.ncbi.nlm.nih.gov/articles/PMC5906462/	10.1038/s41598-018-24490-0
R09_TRPC3	In HEK293 cells, a hypermorphic TRPC3 construct containing the moonwalker mutation and cerebellar Delta28 isoform stabilized channel opening and caused calcium-dependent death	corrected	T3	cellular non-mammalian and structural preclinical study	HEK293 cells; C. elegans; cryo-EM; moonwalker mouse T635A corresponding to human T573A	PMCA2 rescue occurred in HEK293 cells rather than Purkinje cells in vivo; the inhibitory pocket is a candidate rather than a validated clinical target	https://pmc.ncbi.nlm.nih.gov/articles/PMC13015894/	10.1126/sciadv.aec9284
R10_ROR	In adult mice with cerebellar AAV9-ATXN3[Q89] expression, pharmacological ROR alpha-gamma activation improved behavioural morphological and mGluR1-related abnormalities	confirmed_model_limited	T3	mouse pharmacology experiment	adult mice with cerebellar AAV9-ATXN3[Q89] expression	Single artificial-expression model does not establish human efficacy or a universal maintenance-input mechanism	https://doi.org/10.1016/j.nbd.2018.10.014	10.1016/j.nbd.2018.10.014
R11_ASO	In patient SCA3 iPSC-derived neurons carrying linked SNP c.987G greater than C, an SNP-selective ASO reduced mutant ataxin-3 approximately 80 percent while largely preserving wild type	corrected	T3	human iPSC-derived neuronal in-vitro experiment	patient iPSC-derived neurons carrying linked SNP c.987G greater than C	Volume year is 2022 not 2021; selectivity depends on a non-universal linked SNP and does not establish human safety or efficacy	https://pmc.ncbi.nlm.nih.gov/articles/PMC8649108/	10.1016/j.omtn.2021.11.015
R12_NFL_MIXED	In a mixed-genotype cross-sectional SCA cohort, plasma NfL was elevated in the pre-ataxic group and associated with severity and CAG length	corrected	T2	cross-sectional human biomarker study	190 total participants; 60 mixed-genotype SCA including 27 SCA3 and one SCA6	Small pre-ataxic and subtype samples; no longitudinal onset prediction; NfL is nonspecific and not a validated latent-state or surrogate endpoint	https://pubmed.ncbi.nlm.nih.gov/37003406/	10.1016/j.nbd.2023.106112
